Rating,User,Category,Age,Date,Review,Review_cate
5,jnp********,가족여행으로 좋아요,20대,2024.10.03,재밌고 좋았었습니다.ㅎㅎㅎㅎ,"호텔이 관광지와 가까워요
일정이 알차요
현지 음식이 맛있어요
가이드가 전문적이에요
객실이 깨끗해요"
5,bpr*********,가족여행으로 좋아요,40대,2024.10.02,오사카는 패키지가 처음인데 일정도 나름 여유 있고 좋네요~^^,"객실이 깨끗해요
호텔이 관광지와 가까워요
일정이 알차요
일정이 여유로워요
현지 음식이 맛있어요"
5,hjhjys1211,커플여행으로 좋아요,40대,2024.10.02,이선주 가이드님 박학다식하고 배려심도 깊으시고 말씀도 예쁘게 조용히 귀에 쏙쏙잘들리게 예기해주시고 여행내내 너무 잼있었습니다~~~^^ 첫날 작은사고는 있었지만 걱정해주셔서 감사해요~~~ 또 인연이되면 이선주가이드님 또 만나고 싶네요~~~^^♡,"일정이 알차요
호텔이 시내에 있어요
가이드가 배려 깊고 세심해요
가이드가 전문적이에요"
4,jim*******,가족여행으로 좋아요,40대,2024.09.28,"사춘기아들은 여행내내 말도 잘없다가 다녀오니 가이드님이랑 또 같이가신분들 이랑 정이들어서 집에오니 너무그립다네요(알수없는 중1. . ㅋ) 일본 여행 아이들이랑 잘다녀왔어요 걷는건 나름 좋았는데 날씨생각을 하고 9월말에 예약을 한건데. 와. . 너무더워서 혼났어요 .9월말도 일본은. 아주아주덥습니다. 우직하고 배려깊은 가이드님 덕에 도요토미 히데요시 ,이야기도 경제 이야기도 너무나도 재미있었어요! 같이 가셨던 분들도 다들 좋은분들 이고. 아이들도 너무너무 좋아했던 첫 해외여행이였네요! 담에 또 뵈용","객실이 깨끗해요
호텔이 관광지와 가까워요
호텔이 시내에 있어요
호텔에서 쉬기 좋아요
가이드가 배려 깊고 세심해요"
5,jew********,가족여행으로 좋아요,40대,2024.09.28,"유니버셜 스튜디오가 단연 최고였어요! 그 외에 여러 지역을 다양하게 둘러볼 수 있었어요. 특히, 가이드 해주시는 분께서, 여행지에 대해 상세히 설명해 주셔서 배울점도 많았고, 도움이 많이 되었습니다. 더불어 매우 친절하시고 편하게 대해 주셔서 궁금한 것 질문하기도 좋았습니다.","가이드가 배려 깊고 세심해요
가이드가 전문적이에요
일정이 알차요
가이드가 재밌어요
가이드가 열정적이에요"
5,jid*****,가족여행으로 좋아요,40대,2024.09.28,"2박3일 교토, 오사카 여행을 통해 좋은 추억을 만드는 시간을 갖게되어 참 좋았습니다! 배윤희 가이드님과 패키지 팀원분들이 참 좋으셔서 여행을 편안하고 즐겁게 마무리했습니다! 감사드립니다 ^^","객실이 깨끗해요
호텔이 관광지와 가까워요
일정이 알차요
현지 음식이 다양해요
가이드가 전문적이에요"
5,bab*****,가족여행으로 좋아요,40대,2024.09.27,알차게 잘 다녀왔어요. 너무 알차서 피곤은 했지만 재미있었어요. 단. 너무 더워서 힘들었지만요. 좋았어요,"호텔이 관광지와 가까워요
일정이 알차요
현지 음식이 맛있어요
가이드가 열정적이에요"
5,han*****,가족여행으로 좋아요,60대,2024.09.23,"호텔 시내라서 좋았고 가이드가 열정적, 친절하시고 잘안내해주셨음.","호텔이 시내에 있어요
일정이 알차요
현지 음식이 맛있어요
가격이 합리적이에요
가이드가 전문적이에요"
5,lemon_c30,나홀로 여행으로 좋아요,30대,2024.09.21,"혼자 여행하는 사람도 알차고 재밌게 보낼수 있는것 같아요! 중간 중간 가이드님도 여행꿀팁, 관광지 역사같은것도 잘 알려주셔서 잘 즐기고 왔습니다 :)","객실이 깨끗해요
일정이 여유로워요
현지 음식이 맛있어요
가격이 합리적이에요
가이드가 배려 깊고 세심해요"
5,dld*********,가족여행으로 좋아요,20대,2024.09.21,여행 일정도 타이트하지 않아서 좋았고 가이드님이 잘 인솔해주셔서 가족 여행을 잘 다녀왔습니다.,"일정이 여유로워요
가이드가 전문적이에요
가이드가 열정적이에요
가이드가 배려 깊고 세심해요
가이드가 재밌어요"
