뉴스url,제목,내용요약,날짜
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965404&plink=RSSLINK&cooper=RSSREADER,"성일종 ""헌재, 이념 대결장이 돼…정파 떠나 대한민국 지켜야""","&#9650; 성일종 국민의힘 의원성일종 국민의힘 의원이 ""헌법재판소가 특정 집단의 대표 기관인지, 최후 보루인 헌법기관인지 구분인 안 …","Thu, 30 Jan 2025 13:26:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965378&plink=RSSLINK&cooper=RSSREADER,"국민의힘, 민주당 흑묘백묘론 두고 ""쥐 아닌 사람 잡고 있어""",&#9650; 김기흥 국민의힘 대변인국민의힘이 이재명 민주당 대표가 어제 '내란의 그림자'를 언급한 것과 관련해 '죽음의 …,"Thu, 30 Jan 2025 12:32:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965338&plink=RSSLINK&cooper=RSSREADER,"최 대행, 내란 특검법 거부권 고심…내일 국무회의 상정 유력",최상목 대통령 권한대행이 내일 임시 국무회의를 소집해 내란 특검법에 대해서 거부권을 행사할지 입장을 밝힐 걸로 보입니다.앞서 여야는 내란 특검법…,"Thu, 30 Jan 2025 15:46:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965353&plink=RSSLINK&cooper=RSSREADER,"당정, 2월 초 두 차례 민생협의회…경제·사회 분야 대책 점검",&#9650; 국민의힘 권성동 원내대표가 16일 오전 국회에서 열린 설 명절 응급의료체계 및 호흡기 감염병 확산 점검 관련 당정협의회에 참석해 …,"Thu, 30 Jan 2025 11:55:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965346&plink=RSSLINK&cooper=RSSREADER,"국민의힘 ""'반도체법·에너지3법' 통과에 속도 내겠다""",&#9650; 국민의힘 김상훈 정책위의장국민의힘이 오는 2월 임시 국회에서 '반도체법·에너지3법'을 반드시 처리해야 한다고 주장했…,"Thu, 30 Jan 2025 11:47:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965328&plink=RSSLINK&cooper=RSSREADER,"김기현 ""설 명절 현장 민심, 이재명 대표에 대한 분노""",&#9650; 15일 서울 용산구 한남동 대통령 관저 입구에서 국민의힘 김기현 의원이 발언하고 있다.국민의힘 김기현 의원인 설 명절 현장 민심은…,"Thu, 30 Jan 2025 11:30:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965326&plink=RSSLINK&cooper=RSSREADER,"박용진 ""이재명 일극 체제만 극복되면 대선 승리하나?""","더불어민주당 박용진 전 의원은 ""윤석열이 탄핵되면 다음은 무조건 민주당이 되는 걸까. 이재명 1극 체제만 극복되면 대선 승리는 따 놓은 …","Thu, 30 Jan 2025 11:28:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965299&plink=RSSLINK&cooper=RSSREADER,"이재명, 대전현충원 참배…순직 채 해병 묘역에 헌화",민주당 이재명 대표는 설 연휴 마지막 날인 오늘 오전 대전현충원을 참배했습니다.이 대표는 오늘 비공개 일정으로 대전현충원을 방문하면서 순직 해병…,"Thu, 30 Jan 2025 10:57:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965190&plink=RSSLINK&cooper=RSSREADER,일 '능동적 사이버 방어' 박차…자위대·경찰 합동 거점 검토,일본 정부가 사이버 공격 대응을 이유로 추진 중인 '능동적 사이버 방어'를 위해 경찰과 자위대 등의 관련 활동 합동 거점을 마련하…,"Thu, 30 Jan 2025 10:20:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965212&plink=RSSLINK&cooper=RSSREADER,"K9, 세계시장 절반 휩쓸어…드론전에도 '야포 인기' 여전",&#9650; 육군 7포병여단의 K9 자주포세계 자주포 시장의 '베스트셀러'인 국산 K9이 장차 더 넓은 시장으로 진출할 것으로 …,"Thu, 30 Jan 2025 10:00:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965213&plink=RSSLINK&cooper=RSSREADER,"해군, 2월 인도네시아 국제관함식에 '노적봉함' 파견",&#9650; 노적봉함해군이 다음 달 15&sim;22일 인도네시아 베노아항에서 열리는 국제관함식에 신형 상륙함인 노적봉함을 파견합니다.이번 국…,"Thu, 30 Jan 2025 09:57:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965241&plink=RSSLINK&cooper=RSSREADER,"최 대행, 내란 특검법 거부권 고심…내일 국무회의 상정 유력",&#9650; 최상목 대통령 권한대행최상목 대통령 권한대행이 내일 임시 국무회의를 열어 내란 특검법을 안건으로 상정하고 재의요구권 행사 여부에 …,"Thu, 30 Jan 2025 09:54:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965220&plink=RSSLINK&cooper=RSSREADER,'한 달간 헛바퀴' 국정협의회…연금개혁으로 정상 가동될까,"&#9650; 국정협의회 첫 실무 협의정부와 국회, 여야 대표가 머리를 맞대기로 한 '국정협의회'가 한 달여 동안 소득 없이 공전…","Thu, 30 Jan 2025 09:52:00 +0900"
https://news.sbs.co.kr/news/endPage.do?news_id=N1007965207&plink=RSSLINK&cooper=RSSREADER,"""가족 찾아달라""…소원 못 이루고 숨진 이산가족 10만 명",&#9650; 2023년 제1회 이산가족의 날 행사에서 이산가족 찾기 신청서를 작성하는 모습정부에 등록한 이산가족 중 70% 이상이 가족 상봉의…,"Thu, 30 Jan 2025 09:16:00 +0900"
