뉴스url,제목,내용
https://www.bbc.com/news/articles/c93l8w5ldkpo,UK skier dies in 'violent collision' in French Alps,"An investigation is under way after a British woman died following a ""violent collision"" on a ski slope in the French Alps."
https://www.bbc.com/future/article/20250114-five-science-backed-daytime-hacks-to-improve-your-sleep,Five daytime hacks to fight fatigue and improve your sleep (while you're awake),The secret to feeling good after a night's sleep may start during the day. Here are some tips on how to improve your sleep and feel less tired.
